VIN,Year,Model,Condition,Price,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,State,Mileage
1573637,2023,Ridgeline RTL,New,"$46,370",Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,CA,10
2083409,2023,CR-V Hybrid Sport,New,"$34,150",Platinum White Pearl,Black,FWD,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,
6747152,2023,CR-V Hybrid Sport,New,"$34,245",Meteorite Gray Metallic,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,1
9118509,2022,Pilot TrailSport,New,"$46,500",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,CA,5
462879,2023,CR-V Hybrid Sport Touring,New,"$40,395",Crystal Black Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,5
1014804,2023,Odyssey EX-L,New,"$42,250",Pacific Pewter Metallic,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,CA,5
495844,2023,CR-V Hybrid Sport,New,"$34,090",Urban Gray Pearl,Black,FWD,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,
8379222,2023,CR-V Hybrid Sport Touring,New,"$39,845",Crystal Black Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,
3077130,2023,CR-V Hybrid Sport Touring,New,"$40,240",Platinum White Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,
9180342,2023,CR-V Hybrid Sport,New,"$34,700",Urban Gray Pearl,Black,FWD,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,
2450526,2023,CR-V Hybrid Sport Touring,New,"$40,850",Still Night Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,
2914799,2022,Pilot Special Edition,New,"$44,600",Dark Cherry Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,NV,3
4994556,2022,Ridgeline RTL-E,New,"$43,190",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,WA,10
461525,2022,Ridgeline RTL-E,New,"$42,795",Obsidian Blue Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,WA,9268
8445839,2022,Passport Elite,New,"$41,950",Obsidian Blue Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,WA,9352
6433220,2023,Ridgeline RTL-E,New,"$48,820",Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,NE,5
3141379,2022,Accord Sport 1.5T,New,"$30,469",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,OK,4
2194820,2023,HR-V Sport,New,"$29,039",Platinum White Pearl,Black,All-wheel Drive,Gasoline,continuously variable (m cvt),4 Cylinder Engine,OK,16
6010128,2023,CR-V EX-L,New,"$36,504",Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,continuously variable automatic,4 Cylinder Engine,OK,2
7988834,2023,CR-V Hybrid Sport Touring,New,"$40,239",Platinum White Pearl,Black,All-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,OK,7
6657671,2023,CR-V Hybrid Sport,New,"$34,089",Platinum White Pearl,Black,Front-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,OK,2
1010707,2022,Civic Sport,New,"$25,845",Rallye Red,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,OK,18
5709060,2022,Pilot TrailSport,New,"$46,420",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,OK,5
4529453,2022,Passport Elite,New,"$47,620",Platinum White Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,TX,10
5752052,2023,Ridgeline RTL,New,"$43,482",Radiant Red Metallic II,Black,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,TX,5
9337262,2023,CR-V EX-L,New,"$35,400",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V DOHC,TX,10
3098851,2022,Pilot TrailSport,New,"$46,500",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,OK,8
5933365,2022,Accord Sport 1.5T,New,"$30,470",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,KS,5
4910277,2022,Accord Sport 2.0T,New,"$35,150",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,KS,5
8642396,2022,Accord Sport 1.5T,New,"$30,075",Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,KS,5
2409519,2022,Passport Elite,New,"$47,050",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,TX,
9775636,2022,Accord Sport 1.5T,New,"$30,470",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,TX,10
9626395,2022,Pilot TrailSport,New,"$46,719",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IA,6
2979177,2022,Pilot EX-L,New,"$43,605",Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MN,0
3792355,2023,CR-V EX,New,"$34,860",Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IA,5
2603791,2023,Odyssey Sport,New,"$43,160",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,IA,6
6890238,2022,Passport EX-L,New,"$43,230",Radiant Red Metallic II,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IA,1
3142612,2023,CR-V EX-L,New,"$36,505",Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IA,6
4329945,2023,CR-V EX,New,"$34,250",Platinum White Pearl,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IA,6
2015629,2022,Pilot TrailSport,New,"$46,500",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IA,16
1203718,2023,CR-V EX-L,New,"$35,005",Meteorite Gray Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IA,1
249930,2023,CR-V EX-L,New,"$37,055",Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IA,1
8435148,2022,Passport TrailSport,New,"$47,848",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IA,32
2954671,2022,Pilot Special Edition,New,"$44,205",Modern Steel Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IA,1
9560125,2022,CR-V Touring,New,"$36,845",Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,LA,10
5588575,2022,Pilot Special Edition,New,"$44,100",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,LA,5
3957283,2023,CR-V EX-L,New,"$38,500",Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,LA,12
8579910,2023,CR-V EX-L,New,"$37,000",Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,LA,12
2262368,2023,CR-V EX-L,New,"$35,400",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,LA,5
3108094,2023,CR-V EX-L,New,"$35,900",Urban Gray Pearl,Black,All-wheel Drive,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,LA,3
3580419,2023,CR-V EX-L,New,"$36,505",Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IA,2
8978519,2022,Pilot Touring 8-Passenger,New,"$48,860",White,Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,WI,2
8539792,2022,Accord Hybrid Sport,New,"$34,555",White,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,LA,12
5935726,2022,Pilot Sport,New,"$39,780",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,LA,5
7169308,2022,Pilot Sport,New,"$41,770",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IL,5
1174979,2023,Odyssey Sport,New,"$43,050",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,IL,5
3117308,2023,Ridgeline Black Edition,New,"$44,042",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IL,5
3847296,2022,Pilot Sport,New,"$41,770",Platinum White Pearl,Nh-883p/Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,IL,7
4070666,2022,CR-V EX,New,"$32,055",CRYSTAL BLACK,Black,All-wheel Drive,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,WI,10
8245160,2023,CR-V Hybrid Sport,New,"$34,090",Platinum,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,KY,12
2233905,2022,Accord Sport 1.5T,New,"$30,470",Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,KY,
555387,2023,Ridgeline RTL-E,New,"$46,705",Gray,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,KY,
